Id,KeyText,AddedOn,IsChecked,GroupName,GroupId,BaseFrequency,QuoteFrequency,QuotePointFrequency,KEI
174,калькулятор разбавления самогона водой,2020-10-30 16:36:51.8084615,0,калькулятор разбавления самогона водой,5,8034,1029,574,1.21
900,самогон 20,2022-11-30 16:34:46.0855801,0,Самогон,1,8029,,,
901,рецепт самогона из сахара,2022-11-30 16:34:46.0855801,0,Самогон,1,8000,,,
902,самогон самых,2022-11-30 16:34:46.0855801,0,Самогон,1,7972,,,
903,самогон какая температура,2022-11-30 16:34:46.0855801,0,Самогон,1,7936,,,
904,первая перегонка самогона,2022-11-30 16:34:46.0855801,0,Самогон,1,7935,,,
905,самогон песня,2022-11-30 16:34:46.0865772,0,Самогон,1,7803,,,
906,на чем настоять самогон,2022-11-30 16:34:46.0865772,0,Самогон,1,7707,,,
907,сивушный самогон,2022-11-30 16:34:46.0865772,0,Самогон,1,7669,,,
908,самогон из пшеницы,2022-11-30 16:34:46.0865772,0,Самогон,1,7629,,,
909,рецепт коньяка из самогона в домашних условиях,2022-11-30 16:34:46.0865772,0,Самогон,1,7628,,,
910,самогон пила,2022-11-30 16:34:46.0865772,0,Самогон,1,7617,,,
911,самогон без дрожжей,2022-11-30 16:34:46.0865772,0,Самогон,1,7555,,,
912,1 литр самогона,2022-11-30 16:34:46.0865772,0,Самогон,1,7553,,,
913,таблица самогона водой,2022-11-30 16:34:46.0875744,0,Самогон,1,7293,,,
914,самогон через,2022-11-30 16:34:46.0875744,0,Самогон,1,7124,,,
915,самогон онлайн,2022-11-30 16:34:46.0875744,0,Самогон,1,7121,,,
916,самогон на грецких орехах,2022-11-30 16:34:46.0875744,0,Самогон,1,7107,,,
917,дубовая бочка для самогона,2022-11-30 16:34:46.0875744,0,Самогон,1,7106,,,
918,простой рецепт самогона,2022-11-30 16:34:46.0875744,0,Самогон,1,6996,,,
919,купить дрожжи для самогона,2022-11-30 16:34:46.0875744,0,Самогон,1,6990,,,
920,убрать самогон,2022-11-30 16:34:46.0875744,0,Самогон,1,6937,,,
921,сахарный самогон,2022-11-30 16:34:46.0875744,0,Самогон,1,6933,,,
1,самогон калькулятор самогонщика,2020-10-30 16:33:04.9745799,0,Все,3,6889,34,33,1.01
922,самогон из варенья,2022-11-30 16:34:46.0885732,0,Самогон,1,6812,,,
923,время самогона,2022-11-30 16:34:46.0885732,0,Самогон,1,6758,,,
924,самогон активированным,2022-11-30 16:34:46.0885732,0,Самогон,1,6714,,,
925,рецепт самогона из сахара и дрожжей,2022-11-30 16:34:46.0885732,0,Самогон,1,6667,,,
926,самогон в домашних условиях простой,2022-11-30 16:34:46.0885732,0,Самогон,1,6586,,,
927,какой самогон лучше,2022-11-30 16:34:46.0885732,0,Самогон,1,6539,,,
928,про самогон,2022-11-30 16:34:46.0885732,0,Самогон,1,6483,,,
929,самогон на клюкве,2022-11-30 16:34:46.0885732,0,Самогон,1,6480,,,
930,вода после самогона,2022-11-30 16:34:46.0885732,0,Самогон,1,6475,,,
931,как поставить самогон,2022-11-30 16:34:46.0895691,0,Самогон,1,6440,,,
932,крепость самогона,2022-11-30 16:34:46.0895691,0,Самогон,1,6410,,,
933,самогон на перегородках,2022-11-30 16:35:44.9578492,0,Самогон,1,6375,,,
934,самогон 20 литров,2022-11-30 16:35:44.9578492,0,Самогон,1,6345,,,
935,сколько самогона из браги,2022-11-30 16:35:44.9578492,0,Самогон,1,6165,,,
936,сколько самогона получиться,2022-11-30 16:35:44.9578492,0,Самогон,1,6133,,,
937,самогон после разбавления,2022-11-30 16:35:44.9578492,0,Самогон,1,6118,,,
938,простой рецепт домашнего самогона,2022-11-30 16:35:44.9578492,0,Самогон,1,6115,,,
939,калькулятор самогона онлайн,2022-11-30 16:35:44.9588472,0,Самогон,1,6088,,,
940,самогон в домашних условиях простой рецепт,2022-11-30 16:35:44.9588472,0,Самогон,1,6030,,,
941,самогон 40 градусов,2022-11-30 16:35:44.9588472,0,Самогон,1,6023,,,
942,смягчение самогона,2022-11-30 16:35:44.9588472,0,Самогон,1,6000,,,
943,настоять самогон рецепты,2022-11-30 16:35:44.9588472,0,Самогон,1,5965,,,
944,вкусный самогон,2022-11-30 16:35:44.9588472,0,Самогон,1,5930,,,
945,выход самогона,2022-11-30 16:35:44.9588472,0,Самогон,1,5915,,,
946,самогон 10,2022-11-30 16:35:44.9588472,0,Самогон,1,5902,,,
947,как делать самогон,2022-11-30 16:35:44.9588472,0,Самогон,1,5900,,,
948,самогонов интернет,2022-11-30 16:35:44.9598446,0,Самогон,1,5879,,,
2,калькулятор самогонщика расчет,2020-10-30 16:33:04.9745799,0,Все,3,5870,240,235,1.12
949,спиртовые дрожжи для самогона,2022-11-30 16:35:44.9598446,0,Самогон,1,5869,,,
950,настой самогона в домашних,2022-11-30 16:35:44.9598446,0,Самогон,1,5866,,,
129,калькулятор самогонщика разбавление самогона,2020-10-30 16:33:04.9745799,0,калькулятор разбавления самогона водой,5,5834,648,648,1.33
951,кедровая настойка на самогоне,2022-11-30 16:35:44.9598446,0,Самогон,1,5759,,,
952,масла в самогоне,2022-11-30 16:35:44.9598446,0,Самогон,1,5752,,,
953,польза самогона,2022-11-30 16:35:44.9598446,0,Самогон,1,5750,,,
954,самогон на грецких перегородках,2022-11-30 16:35:44.9598446,0,Самогон,1,5716,,,
955,разведение самогона,2022-11-30 16:35:44.9598446,0,Самогон,1,5664,,,
956,как разбавить самогон водой,2022-11-30 16:35:44.9598446,0,Самогон,1,5658,,,
236,калькулятор разбавления спирта,2020-10-30 16:39:24.8339337,0,калькулятор разбавления самогона водой,5,5654,1261,1162,1.62
957,кокосовый уголь для самогона,2022-11-30 16:35:44.9598446,0,Самогон,1,5651,,,
130,калькулятор самогонщика разбавление водой,2020-10-30 16:33:04.9745799,0,калькулятор разбавления самогона водой,5,5641,29,27,1.01
958,самогон на рябине,2022-11-30 16:35:44.9598446,0,Самогон,1,5631,,,
959,турбо дрожжи для самогона,2022-11-30 16:35:44.9598446,0,Самогон,1,5605,,,
960,самогон налей,2022-11-30 16:35:44.9598446,0,Самогон,1,5584,,,
961,самогон налью,2022-11-30 16:35:44.9598446,0,Самогон,1,5584,,,
962,самогон на черносливе,2022-11-30 16:35:44.9598446,0,Самогон,1,5561,,,
963,хреновуха на самогоне,2022-11-30 16:35:44.9598446,0,Самогон,1,5561,,,
964,сивушные масла в самогоне,2022-11-30 16:35:44.9598446,0,Самогон,1,5509,,,
965,самогон после разбавления водой,2022-11-30 16:35:44.9608417,0,Самогон,1,5508,,,
966,самогон из яблок,2022-11-30 16:35:44.9608417,0,Самогон,1,5493,,,
967,декстроза для самогона,2022-11-30 16:35:44.9608417,0,Самогон,1,5472,,,
968,как очистить самогон в домашних условиях,2022-11-30 16:35:44.9608417,0,Самогон,1,5459,,,
969,самогон на перегородках орехов,2022-11-30 16:35:44.9608417,0,Самогон,1,5450,,,
970,день самогона,2022-11-30 16:35:44.9608417,0,Самогон,1,5379,,,
971,фильтр для самогона,2022-11-30 16:35:44.9608417,0,Самогон,1,5305,,,
972,самогон из дрожжей в домашних условиях,2022-11-30 16:35:44.9608417,0,Самогон,1,5273,,,
973,кедровый самогон рецепт,2022-11-30 16:35:44.9608417,0,Самогон,1,5248,,,
974,настойка самогона на орехах,2022-11-30 16:35:44.9608417,0,Самогон,1,5212,,,
975,настой самогона в домашних условиях,2022-11-30 16:35:44.9608417,0,Самогон,1,5206,,,
976,самогон на лимоне,2022-11-30 16:35:44.9608417,0,Самогон,1,5204,,,
131,калькулятор самогонщика разбавление самогона водой,2020-10-30 16:33:04.9745799,0,калькулятор разбавления самогона водой,5,5166,2712,2712,2.57
977,настойки домашние рецепты приготовления на самогоне,2022-11-30 16:35:44.9608417,0,Самогон,1,5082,,,
978,самогонный аппарат самогон,2022-11-30 16:35:44.9608417,0,Самогон,1,5079,,,
979,самогон стоит,2022-11-30 16:35:44.9608417,0,Самогон,1,5075,,,
980,очистка домашнего самогона,2022-11-30 16:35:44.9608417,0,Самогон,1,5030,,,
122,калькулятор самогонщика онлайн расчет,2020-10-30 16:33:04.9745799,0,Главная,4,5000,2856,2856,2.71
981,яблочный самогон,2022-11-30 16:35:44.9608417,0,Самогон,1,4979,,,
982,самогон под,2022-11-30 16:35:44.9608417,0,Самогон,1,4949,,,
983,очистить самогон от сивушных,2022-11-30 16:36:42.0163099,0,Самогон,1,4908,,,
984,самогон вари,2022-11-30 16:36:42.0163099,0,Самогон,1,4907,,,
985,пропорции браги для самогона,2022-11-30 16:36:42.0163099,0,Самогон,1,4905,,,
986,сухой самогон,2022-11-30 16:36:42.0163099,0,Самогон,1,4900,,,
987,самогон после первой перегонки,2022-11-30 16:36:42.0163099,0,Самогон,1,4895,,,
988,вода сахар самогон,2022-11-30 16:36:42.0163099,0,Самогон,1,4856,,,
989,самогон на перегородках грецкого ореха,2022-11-30 16:36:42.0163099,0,Самогон,1,4851,,,
990,самогон на рецепт на 3 литровую,2022-11-30 16:36:42.0173073,0,Самогон,1,4850,,,
991,сколько дрожжей для самогона,2022-11-30 16:36:42.0173073,0,Самогон,1,4806,,,
992,самогон скачать,2022-11-30 16:36:42.0173073,0,Самогон,1,4794,,,
993,лучшие настойки на самогоне,2022-11-30 16:36:42.0173073,0,Самогон,1,4773,,,
994,виски из самогона,2022-11-30 16:36:42.0173073,0,Самогон,1,4684,,,
995,самогон кг,2022-11-30 16:36:42.0173073,0,Самогон,1,4679,,,
996,формула самогона,2022-11-30 16:36:42.0173073,0,Самогон,1,4677,,,
997,сколько добавить в самогон,2022-11-30 16:36:42.0173073,0,Самогон,1,4677,,,
998,что добавить в самогон,2022-11-30 16:36:42.0173073,0,Самогон,1,4675,,,
999,самогон цена,2022-11-30 16:36:42.0173073,0,Самогон,1,4664,,,
1000,виноградный самогон,2022-11-30 16:36:42.0173073,0,Самогон,1,4636,,,
1001,самогон фото,2022-11-30 16:36:42.0173073,0,Самогон,1,4623,,,
1002,домашний самогон брага,2022-11-30 16:36:42.0173073,0,Самогон,1,4617,,,
1003,самогон своими руками,2022-11-30 16:36:42.0173073,0,Самогон,1,4591,,,
1004,где самогон,2022-11-30 16:36:42.0173073,0,Самогон,1,4515,,,
1005,вред самогона,2022-11-30 16:36:42.0173073,0,Самогон,1,4513,,,
1006,щепа для самогона,2022-11-30 16:36:42.0183036,0,Самогон,1,4507,,,
1007,очистка самогона в домашних условиях,2022-11-30 16:36:42.0183036,0,Самогон,1,4498,,,
1008,как перегнать самогон,2022-11-30 16:36:42.0183036,0,Самогон,1,4470,,,
1009,как очистить самогон углем,2022-11-30 16:36:42.0183036,0,Самогон,1,4457,,,
1010,калькулятор перегонки самогона,2022-11-30 16:36:42.0183036,0,Самогон,1,4421,,,
1011,классический самогон,2022-11-30 16:36:42.0183036,0,Самогон,1,4386,,,
1012,самогон 10 литров,2022-11-30 16:36:42.0183036,0,Самогон,1,4356,,,
1013,самогон с сухопарником,2022-11-30 16:36:42.0183036,0,Самогон,1,4320,,,
1014,самогон 30,2022-11-30 16:36:42.0183036,0,Самогон,1,4283,,,
1015,сколько настаивать самогон,2022-11-30 16:36:42.0183036,0,Самогон,1,4281,,,
1016,самогон 5,2022-11-30 16:36:42.0183036,0,Самогон,1,4194,,,
1017,как поставить брагу на самогон,2022-11-30 16:36:42.0183036,0,Самогон,1,4182,,,
1018,самогон без запаха,2022-11-30 16:36:42.0183036,0,Самогон,1,4166,,,
1019,как приготовить самогон в домашних,2022-11-30 16:36:42.0183036,0,Самогон,1,4140,,,
1020,бутылки для самогона,2022-11-30 16:36:42.0183036,0,Самогон,1,4133,,,
1021,самогон на скорлупе,2022-11-30 16:36:42.0183036,0,Самогон,1,4102,,,
1022,как очистить самогон от запаха,2022-11-30 16:36:42.0183036,0,Самогон,1,4096,,,
1023,хороший домашний коньяк из самогона,2022-11-30 16:36:42.0193012,0,Самогон,1,4084,,,
1024,очистка самогона купить,2022-11-30 16:36:42.0193012,0,Самогон,1,4080,,,
1025,настойка самогона на грецких,2022-11-30 16:36:42.0193012,0,Самогон,1,4068,,,
175,разбавить самогон калькулятор,2020-10-30 16:36:51.8084615,0,калькулятор разбавления самогона водой,5,4065,475,468,1.35
1026,домашняя перегонка самогона,2022-11-30 16:36:42.0193012,0,Самогон,1,4061,,,
1027,классический рецепт самогона,2022-11-30 16:36:42.0193012,0,Самогон,1,4013,,,
1028,сколько стоит самогон,2022-11-30 16:36:42.0193012,0,Самогон,1,4006,,,
1029,купить бочку для самогона,2022-11-30 16:36:42.0193012,0,Самогон,1,3988,,,
1030,самогон рецепты на 3 литровую банку,2022-11-30 16:36:42.0193012,0,Самогон,1,3984,,,
1031,разбавить самогон калькулятор,2022-11-30 16:36:42.0193012,0,Самогон,1,3962,,,
1032,сколько литров самогона получится,2022-11-30 16:36:42.0193012,0,Самогон,1,3956,,,
1033,очистить самогон от запаха в домашних условиях,2022-11-30 16:37:49.9048219,0,Самогон,1,3953,,,
1034,градус перегонки самогона,2022-11-30 16:37:49.9058179,0,Самогон,1,3946,,,
1035,висельник на самогоне,2022-11-30 16:37:49.9058179,0,Самогон,1,3935,,,
1036,приятны самогон,2022-11-30 16:37:49.9058179,0,Самогон,1,3933,,,
237,калькулятор разбавления спирта водой,2020-10-30 16:39:24.8339337,0,калькулятор разбавления самогона водой,5,3929,2078,1551,2.18
1037,правильный самогон в домашних условиях,2022-11-30 16:37:49.9058179,0,Самогон,1,3910,,,
1038,как приготовить самогон в домашних условиях,2022-11-30 16:37:49.9058179,0,Самогон,1,3902,,,
1039,сайт самогон,2022-11-30 16:37:49.9068152,0,Самогон,1,3873,,,
1040,самогон перегонка как правильно,2022-11-30 16:37:49.9068152,0,Самогон,1,3871,,,
1041,настаивание самогона,2022-11-30 16:37:49.9068152,0,Самогон,1,3852,,,
1042,настойки на самогоне лучшие рецепты,2022-11-30 16:37:49.9068152,0,Самогон,1,3838,,,
1043,самогон на калине,2022-11-30 16:37:49.9068152,0,Самогон,1,3835,,,
1044,как сделать самогон рецепт,2022-11-30 16:37:49.9068152,0,Самогон,1,3826,,,
1045,самогон саныч,2022-11-30 16:37:49.9078137,0,Самогон,1,3804,,,
1046,разведение самогона водой,2022-11-30 16:37:49.9078137,0,Самогон,1,3799,,,
1047,самогон без дрожжей рецепт,2022-11-30 16:37:49.9078137,0,Самогон,1,3798,,,
1048,самогон из меда,2022-11-30 16:37:49.9078137,0,Самогон,1,3797,,,
1049,самогон черноплодной,2022-11-30 16:37:49.9078137,0,Самогон,1,3795,,,
1050,как развести самогон,2022-11-30 16:37:49.9088119,0,Самогон,1,3795,,,
1051,дом самогона,2022-11-30 16:37:49.9088119,0,Самогон,1,3786,,,
1052,онлайн разбавления самогона,2022-11-30 16:37:49.9098106,0,Самогон,1,3781,,,
1053,калькулятор второй перегонки самогона,2022-11-30 16:37:49.910826,0,Самогон,1,3776,,,
1054,самогон на вишне,2022-11-30 16:37:49.910826,0,Самогон,1,3759,,,
1055,дистиллятор для самогона,2022-11-30 16:37:49.9118022,0,Самогон,1,3733,,,
1056,дрожжи для самогона какие,2022-11-30 16:37:49.9118022,0,Самогон,1,3726,,,
1057,настойка на грецких орехах на самогоне,2022-11-30 16:37:49.9118022,0,Самогон,1,3725,,,
1058,коньяк из самогона лучший рецепт,2022-11-30 16:37:49.9128019,0,Самогон,1,3722,,,
1059,калькулятор самогонщика разбавление самогона водой после,2022-11-30 16:37:49.9128019,0,Самогон,1,3716,,,
1060,рецепт браги для самогона из сахара,2022-11-30 16:37:49.9128019,0,Самогон,1,3716,,,
1061,лучшие дрожжи для самогона,2022-11-30 16:37:49.9128019,0,Самогон,1,3714,,,
1062,очищаем самогон от запаха и масел,2022-11-30 16:37:49.9137972,0,Самогон,1,3706,,,
1063,онлайн калькулятор разбавления самогона,2022-11-30 16:37:49.9137972,0,Самогон,1,3694,,,
1064,домашний самогон из сахара,2022-11-30 16:37:49.9137972,0,Самогон,1,3694,,,
1065,очистить самогон от сивушных масел и запаха,2022-11-30 16:37:49.9137972,0,Самогон,1,3688,,,
1066,домашний коньяк из самогона лучший рецепт,2022-11-30 16:37:49.9187823,0,Самогон,1,3669,,,
1067,перегонка самогона в домашних условиях,2022-11-30 16:37:49.9197803,0,Самогон,1,3664,,,
1068,настойка на рябине на самогоне,2022-11-30 16:37:49.920781,0,Самогон,1,3661,,,
1069,красный самогон,2022-11-30 16:37:49.920781,0,Самогон,1,3647,,,
1070,лучшие рецепты самогона настойки в домашних условиях,2022-11-30 16:37:49.9217879,0,Самогон,1,3622,,,
1071,очистить самогон от сивушных масел в домашних,2022-11-30 16:37:49.9217879,0,Самогон,1,3611,,,
1072,разбавление самогона водой после второй,2022-11-30 16:37:49.9217879,0,Самогон,1,3604,,,
1073,настойка на самогоне самая,2022-11-30 16:37:49.9217879,0,Самогон,1,3603,,,
